viaje_id,fecha_salida,fecha_llegada,chofer_id,vehiculo_id,n_paradas,km_ruta,carga_kg,capacidad_kg,t_est_min,t_real_min,duracion_min,peso_kg,otif,combustible_rd,viaticos_rd,mantenimiento_rd,costo_total,tipo,delta_t,ind_retraso,riesgo_cat,fill_rate,log_carga_kg,costo_km,hora_salida,dia_semana_num,es_fin_semana,mes,viajes_conductor,densidad_paradas,riesgo_num,ruta_Ruta-Este,ruta_Ruta-Norte,ruta_Ruta-Oeste,ruta_Ruta-Sur,franja_horaria_TARDE,franja_horaria_NOCHE
VJ-00001,2025-01-01 00:00:00,2025-01-01 01:28:18.196441410,CHF-003,VEH-007,4.0,50.9,2268.0,4000,90,88,88.30327402350001,2268.0,1,1863.0,668.0,119.0,2650.0,Furgon,-2,0,BAJO,0.567,7.727094484779841,52.06286836935167,0,2,0,1,0,0.07858546168958742,0,0,1,0,0,0,0
VJ-00002,2025-01-01 08:00:00,2025-01-01 09:15:00.000000000,CHF-008,VEH-006,8.0,46.9,1576.0,5000,105,75,75.0,1576.0,1,1481.0,743.0,237.0,2461.0,Camion Liviano,-30,0,BAJO,0.3152,7.3632795869630385,52.47334754797441,8,2,0,1,0,0.17057569296375266,0,0,0,1,0,0,0
VJ-00003,2025-01-01 16:00:00,2025-01-01 17:18:35.591134980,CHF-002,VEH-004,7.0,42.7,1726.0,4000,105,79,78.593185583,1726.0,1,1617.0,761.0,139.0,2517.0,Camion Mediano,-26,0,BAJO,0.4315,7.454141078146678,58.94613583138173,16,2,0,1,0,0.16393442622950818,0,0,0,1,0,1,0
VJ-00004,2025-01-02 00:00:00,2025-01-02 01:53:19.586880990,CHF-001,VEH-004,8.0,38.5,1795.0,4000,75,113,113.32644801650001,1795.0,0,1365.0,552.0,146.0,2063.0,Camion Mediano,38,1,ALTO,0.44875,7.493317248862145,53.58441558441559,0,3,0,1,0,0.2077922077922078,2,1,0,0,0,0,0
VJ-00005,2025-01-02 08:00:00,2025-01-02 08:51:49.583612226,CHF-008,VEH-001,8.0,42.7,2399.0,5000,75,52,51.826393537099996,2399.0,1,1128.0,560.0,290.0,1978.0,Camion Mediano,-23,0,BAJO,0.4798,7.783224016336037,46.3231850117096,8,3,0,1,1,0.18735362997658078,0,1,0,0,0,0,0
VJ-00006,2025-01-02 16:00:00,2025-01-02 16:40:15.471575268,CHF-007,VEH-002,8.0,37.0,3280.0,6000,60,40,40.2578595878,3280.0,1,1466.0,700.0,218.0,2384.0,Camion Mediano,-20,0,BAJO,0.5466666666666666,8.0959035329611,64.43243243243244,16,3,0,1,0,0.21621621621621623,0,0,0,0,0,1,0
VJ-00007,2025-01-03 00:00:00,2025-01-03 02:03:03.866610588,CHF-010,VEH-008,7.0,47.6,3298.0,6000,90,123,123.0644435098,3298.0,0,1733.0,457.0,377.0,2567.0,Furgon,33,1,ALTO,0.5496666666666666,8.101374671228582,53.92857142857142,0,4,0,1,0,0.14705882352941177,2,0,1,0,0,0,0
VJ-00008,2025-01-03 08:00:00,2025-01-03 10:37:17.472542778,CHF-005,VEH-003,8.0,50.1,1674.0,5000,105,157,157.2912090463,1674.0,0,1843.0,719.0,196.0,2758.0,Camion Mediano,52,1,ALTO,0.3348,7.423568444259167,55.0499001996008,8,4,0,1,0,0.1596806387225549,2,0,0,1,0,0,0
VJ-00009,2025-01-03 16:00:00,2025-01-03 17:38:54.708040866,CHF-011,VEH-006,7.0,55.5,1488.0,5000,120,99,98.9118006811,1488.0,1,1494.0,547.0,318.0,2359.0,Camion Liviano,-21,0,BAJO,0.2976,7.305860032684009,42.5045045045045,16,4,0,1,0,0.12612612612612611,0,0,0,0,1,1,0
VJ-00010,2025-01-04 00:00:00,2025-01-04 01:23:22.291126668,CHF-006,VEH-006,2.0,45.1,1853.0,4000,90,83,83.3715187778,1853.0,1,1432.0,358.0,238.0,2028.0,Camion Liviano,-7,0,BAJO,0.46325,7.5251007461258,44.966740576496676,0,5,1,1,0,0.044345898004434586,0,0,1,0,0,0,0
