km_ruta,log_km,vel_max,vel_prom,t_est_min,hora_inicio,dia_semana_num,es_fin_semana,mes,n_paradas,densidad_paradas,ruta_Cibao-Norte,ruta_Cibao-Sur,ruta_Este-Turístico,ruta_La-Romana,ruta_Nordeste,ruta_Norte,ruta_Otras,ruta_SD-Centro,ruta_SD-Este,ruta_SD-Norte,ruta_SD-Oeste,ruta_Santiago,ruta_Sur,franja_horaria_NOCHE,franja_horaria_TARDE
7.709189,2.164378675,67,33.0,137,10,3,0,2,1,0.1297,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199.54059,5.30101667,100,75.8,167,1,3,0,10,1,0.005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20.527732,3.069341964,89,42.5,28,5,0,0,11,1,0.0487,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9.080134,2.310566556,52,19.5,145,18,0,0,7,1,0.1101,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
14.374276,2.732695723,57,26.1,57,15,5,1,11,1,0.0696,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
223.206198,5.412566155,94,62.6,219,1,3,0,9,1,0.0045,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23.621,3.203599737,96,37.3,32,13,0,0,8,1,0.0423,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7.435667,2.132468788,55,31.9,40,10,0,0,6,1,0.1345,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18.046318,2.946873802,81,40.1,25,10,0,0,6,1,0.0554,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12.315401,2.588921335,55,13.2,47,7,1,0,7,1,0.0812,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5.818946,1.919704914,47,15.9,91,17,1,0,1,1,0.1719,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
199.123518,5.298934766,111,77.6,139,1,3,0,8,1,0.005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10.372619,2.431208624,80,44.5,27,12,0,0,1,1,0.0964,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7.407291,2.129099306,83,34.2,28,10,0,0,11,1,0.135,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6.657106,2.035634106,54,23.5,50,9,4,0,8,1,0.1502,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16.255137,2.848109896,48,22.2,40,18,0,0,3,1,0.0615,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6.66339,2.036454445,74,33.3,17,20,4,0,10,1,0.1501,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
24.120258,3.223674612,53,22.3,55,20,0,0,2,1,0.0415,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24.952789,3.25627908,55,25.0,57,20,1,0,9,1,0.0401,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
52.416909,3.978127344,77,18.1,85,13,0,0,12,1,0.0191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5.211899,1.826466646,55,14.2,65,15,0,0,5,1,0.1919,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
112.39167,4.730847932,94,52.7,160,7,5,1,9,1,0.0089,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
