km_ruta,log_km,vel_max,vel_prom,t_est_min,hora_inicio,dia_semana_num,es_fin_semana,mes,n_paradas,densidad_paradas,costo_estimado,costo_km_est,ruta_Cibao-Norte,ruta_Cibao-Sur,ruta_Este-Turístico,ruta_La-Romana,ruta_Nordeste,ruta_Norte,ruta_Otras,ruta_SD-Centro,ruta_SD-Este,ruta_SD-Norte,ruta_SD-Oeste,ruta_Santiago,ruta_Sur,franja_horaria_NOCHE,franja_horaria_TARDE
197.698397,5.291788082,110,64.8,127,1,0,0,9,1,0.0051,10939.61,55.3348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103.038492,4.644760946,102,69.5,157,5,2,0,9,1,0.0097,6276.19,60.9111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24.897703,3.254154278,49,24.1,57,19,0,0,5,1,0.0402,2426.59,97.4624,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33.325708,3.535894578,86,62.5,139,8,5,1,7,1,0.03,2841.79,85.2732,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22.190658,3.143749525,84,39.2,23,7,0,0,6,1,0.0451,2293.22,103.3417,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47.89409,3.88965653,83,46.3,137,9,4,0,11,1,0.0209,3559.5,74.3202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59.807691,4.107716278,86,43.8,92,11,4,0,1,1,0.0167,4146.43,69.3294,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10.602841,2.451249982,64,25.4,31,9,2,0,9,1,0.0943,1722.35,162.4423,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162.163919,5.094755334,89,49.6,174,5,2,0,2,1,0.0062,9189.01,56.6649,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26.802057,3.325110011,78,27.3,48,18,4,0,9,1,0.0373,2520.4,94.0376,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
10.564699,2.447957269,71,20.4,27,9,0,0,6,1,0.0947,1720.47,162.8508,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31.160759,3.470747045,76,38.2,113,5,3,0,10,1,0.0321,2735.13,87.7748,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16.639592,2.870145921,88,66.6,71,16,1,0,7,1,0.0601,2019.75,121.3822,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
25.043544,3.259769906,58,28.9,57,22,3,0,7,1,0.0399,2433.77,97.1815,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
183.317138,5.21665785,118,60.1,133,7,0,0,2,1,0.0055,10231.12,55.811,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106.962251,4.681781638,108,67.6,87,6,3,0,11,1,0.0093,6469.5,60.484,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
207.824166,5.341492587,90,61.7,273,1,6,1,4,1,0.0048,11438.46,55.0391,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133.499308,4.901559054,97,70.9,29,15,3,0,8,1,0.0075,7776.84,58.2538,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8.22557,2.221978977,54,14.5,35,7,1,0,7,1,0.1216,1605.23,195.1512,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8.259413,2.225640656,74,29.2,27,11,1,0,7,1,0.1211,1606.9,194.5538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10.074401,2.404636229,76,50.4,134,6,6,1,5,1,0.0993,1696.32,168.3792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26.805466,3.32523262,55,23.0,55,20,5,1,1,1,0.0373,2520.57,94.0319,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
16.519255,2.863300562,87,39.6,32,5,2,0,8,1,0.0605,2013.82,121.9074,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11.971929,2.562787715,71,21.1,31,19,6,1,6,1,0.0835,1789.8,149.4997,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
10.65839,2.456026092,84,35.5,38,11,3,0,6,1,0.0938,1725.09,161.8528,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
82.91006,4.429745511,88,58.5,88,3,3,0,12,1,0.0121,5284.56,63.7385,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120.485359,4.799793753,87,55.6,112,2,0,0,9,1,0.0083,7135.71,59.2247,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
224.450316,5.418099807,119,74.0,332,3,2,0,11,1,0.0045,12257.54,54.6114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201.138174,5.308951493,104,68.6,150,2,0,0,2,1,0.005,11109.07,55.231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
